lang,idx,role,agent_name,correct,prediction,gold,shape,final_step_last_layer_gold_logprob,final_step_last_layer_gold_rank,best_gold_rank,best_gold_logprob,emergence_step,latent_reasoning_score,rank_threshold,emergence_layer_strategy
bn,3,refiner,Refiner,False,180,540,4x37x2560,-16.21156120300293,2374.0,38.0,-9.840608596801758,,0.0,1000,final_layer
bn,3,judger,Judger,False,180,540,1x37x2560,-11.197928428649902,111.0,38.0,-10.497512817382812,0,1.0,1000,final_layer
bn,4,planner,Planner,True,20,20,4x37x2560,-9.612282752990723,903.0,12.0,-9.612282752990723,2,0.5,1000,final_layer
bn,4,critic,Critic,True,20,20,4x37x2560,-14.048161506652832,1240.0,12.0,-8.383042335510254,,0.0,1000,final_layer
bn,4,refiner,Refiner,True,20,20,4x37x2560,-19.05978012084961,6353.0,12.0,-10.056001663208008,,0.0,1000,final_layer
bn,4,judger,Judger,True,20,20,1x37x2560,-10.647035598754883,100.0,12.0,-10.536008834838867,0,1.0,1000,final_layer
bn,5,planner,Planner,False,4,64,4x37x2560,-9.660002708435059,530.0,42.0,-9.660002708435059,3,0.25,1000,final_layer
bn,5,critic,Critic,False,4,64,4x37x2560,-12.66911792755127,2088.0,42.0,-10.675594329833984,,0.0,1000,final_layer
bn,5,refiner,Refiner,False,4,64,4x37x2560,-24.642940521240234,11450.0,42.0,-10.626538276672363,,0.0,1000,final_layer
bn,5,judger,Judger,False,4,64,1x37x2560,-11.657049179077148,121.0,42.0,-10.610563278198242,0,1.0,1000,final_layer
bn,6,planner,Planner,False,2,260,4x37x2560,-9.6597318649292,606.0,12.0,-9.6597318649292,3,0.25,1000,final_layer
bn,6,critic,Critic,False,2,260,4x37x2560,-11.67888355255127,1117.0,12.0,-10.109245300292969,,0.0,1000,final_layer
bn,6,refiner,Refiner,False,2,260,4x37x2560,-12.566132545471191,2081.0,12.0,-10.935766220092773,,0.0,1000,final_layer
bn,6,judger,Judger,False,2,260,1x37x2560,-10.237571716308594,83.0,12.0,-10.162362098693848,0,1.0,1000,final_layer
bn,7,planner,Planner,False,120,160,4x37x2560,-14.888789176940918,275.0,8.0,-9.877494812011719,2,0.5,1000,final_layer
bn,7,critic,Critic,False,120,160,4x37x2560,-17.845722198486328,2600.0,8.0,-10.1918306350708,,0.0,1000,final_layer
bn,7,refiner,Refiner,False,120,160,4x37x2560,-19.342477798461914,8040.0,8.0,-12.019855499267578,,0.0,1000,final_layer
bn,7,judger,Judger,False,120,160,1x37x2560,-0.5387305021286011,1.0,1.0,-0.5387305021286011,0,1.0,1000,final_layer
bn,8,planner,Planner,False,2,45,4x37x2560,-8.731142044067383,324.0,30.0,-8.731142044067383,2,0.5,1000,final_layer
bn,8,critic,Critic,False,2,45,4x37x2560,-33.363346099853516,73047.0,30.0,-9.895727157592773,,0.0,1000,final_layer
bn,8,refiner,Refiner,False,2,45,4x37x2560,-29.03911781311035,38538.0,30.0,-9.458539962768555,,0.0,1000,final_layer
bn,8,judger,Judger,False,2,45,1x37x2560,-11.559590339660645,171.0,30.0,-8.221000671386719,0,1.0,1000,final_layer
bn,9,planner,Planner,False,6,460,4x37x2560,-8.059537887573242,135.0,30.0,-8.059537887573242,2,0.5,1000,final_layer
bn,9,critic,Critic,False,6,460,4x37x2560,-11.613001823425293,987.0,30.0,-9.489084243774414,3,0.25,1000,final_layer
bn,9,refiner,Refiner,False,6,460,4x37x2560,-13.522054672241211,3846.0,30.0,-9.903392791748047,,0.0,1000,final_layer
bn,9,judger,Judger,False,6,460,1x37x2560,-10.623384475708008,124.0,30.0,-8.339783668518066,0,1.0,1000,final_layer
bn,10,planner,Planner,False,468,366,4x37x2560,-9.741070747375488,408.0,19.0,-9.741070747375488,2,0.5,1000,final_layer
bn,10,critic,Critic,False,468,366,4x37x2560,-11.128955841064453,950.0,19.0,-8.673389434814453,3,0.25,1000,final_layer
bn,10,refiner,Refiner,False,468,366,4x37x2560,-11.770034790039062,2153.0,19.0,-9.52825927734375,,0.0,1000,final_layer
bn,10,judger,Judger,False,468,366,1x37x2560,-9.86711311340332,90.0,19.0,-9.86711311340332,0,1.0,1000,final_layer
bn,11,planner,Planner,True,694,694,4x37x2560,-9.551496505737305,266.0,42.0,-9.551496505737305,3,0.25,1000,final_layer
bn,11,critic,Critic,True,694,694,4x37x2560,-11.877674102783203,1173.0,42.0,-10.397882461547852,,0.0,1000,final_layer
bn,11,refiner,Refiner,True,694,694,4x37x2560,-15.965325355529785,3579.0,42.0,-10.535977363586426,,0.0,1000,final_layer
bn,11,judger,Judger,True,694,694,1x37x2560,-11.207025527954102,184.0,42.0,-10.622833251953125,0,1.0,1000,final_layer
bn,12,planner,Planner,False,90,13,4x37x2560,-9.283838272094727,249.0,8.0,-9.283838272094727,2,0.5,1000,final_layer
bn,12,critic,Critic,False,90,13,4x37x2560,-11.977653503417969,1485.0,8.0,-10.69991683959961,,0.0,1000,final_layer
bn,12,refiner,Refiner,False,90,13,4x37x2560,-10.037627220153809,1108.0,8.0,-10.037627220153809,,0.0,1000,final_layer
bn,12,judger,Judger,False,90,13,1x37x2560,-1.2351806163787842,2.0,2.0,-1.2351806163787842,0,1.0,1000,final_layer
bn,13,planner,Planner,False,4,18,4x37x2560,-9.188186645507812,362.0,8.0,-9.188186645507812,3,0.25,1000,final_layer
bn,13,critic,Critic,False,4,18,4x37x2560,-10.98578929901123,1212.0,8.0,-10.193497657775879,,0.0,1000,final_layer
bn,13,refiner,Refiner,False,4,18,4x37x2560,-15.215604782104492,5534.0,8.0,-10.742040634155273,,0.0,1000,final_layer
bn,13,judger,Judger,False,4,18,1x37x2560,-1.3910343647003174,2.0,2.0,-1.3910343647003174,0,1.0,1000,final_layer
bn,14,planner,Planner,False,4,60,4x37x2560,-11.423601150512695,311.0,42.0,-9.530511856079102,2,0.5,1000,final_layer
bn,14,critic,Critic,False,4,60,4x37x2560,-14.165863037109375,1950.0,42.0,-10.76784610748291,,0.0,1000,final_layer
bn,14,refiner,Refiner,False,4,60,4x37x2560,-18.193185806274414,7374.0,42.0,-10.792742729187012,,0.0,1000,final_layer
bn,14,judger,Judger,False,4,60,1x37x2560,-11.431644439697266,149.0,42.0,-10.702869415283203,0,1.0,1000,final_layer
bn,15,planner,Planner,True,125,125,4x37x2560,-8.515148162841797,322.0,8.0,-8.515148162841797,3,0.25,1000,final_layer
bn,15,critic,Critic,True,125,125,4x37x2560,-11.417160034179688,965.0,8.0,-9.322077751159668,3,0.25,1000,final_layer
bn,15,refiner,Refiner,True,125,125,4x37x2560,-19.668886184692383,10080.0,8.0,-11.073841094970703,,0.0,1000,final_layer
bn,15,judger,Judger,True,125,125,1x37x2560,-1.5212020874023438,2.0,2.0,-1.5212020874023438,0,1.0,1000,final_layer
bn,16,planner,Planner,True,230,230,4x37x2560,-8.93748950958252,446.0,12.0,-8.93748950958252,3,0.25,1000,final_layer
bn,16,critic,Critic,True,230,230,4x37x2560,-11.006336212158203,1397.0,12.0,-10.641164779663086,,0.0,1000,final_layer
bn,16,refiner,Refiner,True,230,230,4x37x2560,-12.232972145080566,2590.0,12.0,-11.253541946411133,,0.0,1000,final_layer
bn,16,judger,Judger,True,230,230,1x37x2560,-9.769485473632812,79.0,12.0,-9.769485473632812,0,1.0,1000,final_layer
bn,17,planner,Planner,False,2,57500,4x37x2560,-6.330288887023926,50.0,38.0,-6.330288887023926,2,0.5,1000,final_layer
bn,17,critic,Critic,False,2,57500,4x37x2560,-11.676403045654297,451.0,38.0,-8.259757041931152,3,0.25,1000,final_layer
bn,17,refiner,Refiner,False,2,57500,4x37x2560,-13.573951721191406,1636.0,38.0,-8.809663772583008,,0.0,1000,final_layer
bn,17,judger,Judger,False,2,57500,1x37x2560,-11.57585620880127,163.0,38.0,-10.576236724853516,0,1.0,1000,final_layer
bn,18,planner,Planner,True,7,7,4x37x2560,-7.841756820678711,66.0,49.0,-7.841756820678711,2,0.5,1000,final_layer
bn,18,critic,Critic,True,7,7,4x37x2560,-17.411142349243164,1650.0,49.0,-9.684113502502441,,0.0,1000,final_layer
bn,18,refiner,Refiner,True,7,7,4x37x2560,-14.082497596740723,1616.0,49.0,-9.62039566040039,,0.0,1000,final_layer
bn,18,judger,Judger,True,7,7,1x37x2560,-11.452754974365234,186.0,49.0,-9.361742973327637,0,1.0,1000,final_layer
bn,19,planner,Planner,False,3,6,4x37x2560,-9.483842849731445,536.0,42.0,-9.483842849731445,3,0.25,1000,final_layer
bn,19,critic,Critic,False,3,6,4x37x2560,-11.711413383483887,1636.0,42.0,-8.85428237915039,,0.0,1000,final_layer
bn,19,refiner,Refiner,False,3,6,4x37x2560,-14.645021438598633,3735.0,42.0,-10.725238800048828,,0.0,1000,final_layer
bn,19,judger,Judger,False,3,6,1x37x2560,-11.981691360473633,224.0,42.0,-10.732490539550781,0,1.0,1000,final_layer
bn,20,planner,Planner,False,4,15,4x37x2560,-11.361204147338867,351.0,8.0,-9.51755142211914,3,0.25,1000,final_layer
bn,20,critic,Critic,False,4,15,4x37x2560,-15.170196533203125,3559.0,8.0,-11.066825866699219,,0.0,1000,final_layer
bn,20,refiner,Refiner,False,4,15,4x37x2560,-14.048576354980469,6932.0,8.0,-11.770380020141602,,0.0,1000,final_layer
bn,20,judger,Judger,False,4,15,1x37x2560,-0.795468807220459,1.0,1.0,-0.795468807220459,0,1.0,1000,final_layer
bn,21,planner,Planner,False,2,14,4x37x2560,-8.64852237701416,340.0,8.0,-8.64852237701416,3,0.25,1000,final_layer
bn,21,critic,Critic,False,2,14,4x37x2560,-22.159666061401367,6492.0,8.0,-9.026047706604004,,0.0,1000,final_layer
bn,21,refiner,Refiner,False,2,14,4x37x2560,-20.995925903320312,15920.0,8.0,-11.007235527038574,,0.0,1000,final_layer
bn,21,judger,Judger,False,2,14,1x37x2560,-0.3458395302295685,1.0,1.0,-0.3458395302295685,0,1.0,1000,final_layer
bn,22,planner,Planner,True,7,7,4x37x2560,-8.329398155212402,245.0,49.0,-8.329398155212402,3,0.25,1000,final_layer
bn,22,critic,Critic,True,7,7,4x37x2560,-11.066404342651367,1107.0,49.0,-9.640241622924805,,0.0,1000,final_layer
bn,22,refiner,Refiner,True,7,7,4x37x2560,-13.350744247436523,1356.0,49.0,-9.18524169921875,,0.0,1000,final_layer
bn,22,judger,Judger,True,7,7,1x37x2560,-11.236069679260254,183.0,49.0,-9.323995590209961,0,1.0,1000,final_layer
bn,23,planner,Planner,True,8,8,4x37x2560,-10.845436096191406,541.0,49.0,-9.810566902160645,3,0.25,1000,final_layer
bn,23,critic,Critic,True,8,8,4x37x2560,-17.598020553588867,2505.0,49.0,-9.428858757019043,,0.0,1000,final_layer
bn,23,refiner,Refiner,True,8,8,4x37x2560,-18.451589584350586,8542.0,49.0,-9.49691390991211,,0.0,1000,final_layer
bn,23,judger,Judger,True,8,8,1x37x2560,-12.370013236999512,448.0,49.0,-8.183917045593262,0,1.0,1000,final_layer
bn,24,planner,Planner,True,26,26,4x37x2560,-9.150164604187012,271.0,12.0,-9.150164604187012,2,0.5,1000,final_layer
bn,24,critic,Critic,True,26,26,4x37x2560,-10.997098922729492,806.0,12.0,-10.082122802734375,3,0.25,1000,final_layer
bn,24,refiner,Refiner,True,26,26,4x37x2560,-10.630178451538086,1491.0,12.0,-10.630178451538086,,0.0,1000,final_layer
bn,24,judger,Judger,True,26,26,1x37x2560,-9.692995071411133,71.0,12.0,-9.692995071411133,0,1.0,1000,final_layer
bn,25,planner,Planner,True,2,2,4x37x2560,-9.479194641113281,804.0,12.0,-9.479194641113281,3,0.25,1000,final_layer
bn,25,critic,Critic,True,2,2,4x37x2560,-11.29107666015625,1576.0,12.0,-9.747114181518555,,0.0,1000,final_layer
bn,25,refiner,Refiner,True,2,2,4x37x2560,-15.279443740844727,2874.0,12.0,-10.203449249267578,,0.0,1000,final_layer
bn,25,judger,Judger,True,2,2,1x37x2560,-10.537960052490234,99.0,12.0,-10.376668930053711,0,1.0,1000,final_layer
bn,26,planner,Planner,True,243,243,4x37x2560,-9.313286781311035,511.0,12.0,-9.313286781311035,3,0.25,1000,final_layer
bn,26,critic,Critic,True,243,243,4x37x2560,-12.899436950683594,1770.0,12.0,-10.963478088378906,,0.0,1000,final_layer
bn,26,refiner,Refiner,True,243,243,4x37x2560,-17.393268585205078,5833.0,12.0,-11.30964469909668,,0.0,1000,final_layer
bn,26,judger,Judger,True,243,243,1x37x2560,-10.986303329467773,70.0,12.0,-9.81130599975586,0,1.0,1000,final_layer
bn,27,planner,Planner,True,16,16,4x37x2560,-10.744651794433594,289.0,8.0,-10.216714859008789,3,0.25,1000,final_layer
bn,27,critic,Critic,True,16,16,4x37x2560,-15.788182258605957,1363.0,8.0,-10.31737232208252,,0.0,1000,final_layer
bn,27,refiner,Refiner,True,16,16,4x37x2560,-17.788410186767578,6042.0,8.0,-11.344279289245605,,0.0,1000,final_layer
bn,27,judger,Judger,True,16,16,1x37x2560,-0.8631191253662109,1.0,1.0,-0.8631191253662109,0,1.0,1000,final_layer
bn,28,planner,Planner,False,3,25,4x37x2560,-9.242239952087402,404.0,12.0,-9.242239952087402,3,0.25,1000,final_layer
bn,28,critic,Critic,False,3,25,4x37x2560,-14.12131404876709,1751.0,12.0,-9.81100082397461,,0.0,1000,final_layer
bn,28,refiner,Refiner,False,3,25,4x37x2560,-20.995132446289062,7051.0,12.0,-10.742500305175781,,0.0,1000,final_layer
bn,28,judger,Judger,False,3,25,1x37x2560,-10.266252517700195,66.0,12.0,-10.12324047088623,0,1.0,1000,final_layer
bn,29,planner,Planner,False,33,104,4x37x2560,-9.411188125610352,534.0,8.0,-9.411188125610352,3,0.25,1000,final_layer
bn,29,critic,Critic,False,33,104,4x37x2560,-11.823092460632324,1006.0,8.0,-10.019179344177246,,0.0,1000,final_layer
bn,29,refiner,Refiner,False,33,104,4x37x2560,-22.632349014282227,11918.0,8.0,-11.044862747192383,,0.0,1000,final_layer
bn,29,judger,Judger,False,33,104,1x37x2560,-1.14619779586792,2.0,2.0,-1.14619779586792,0,1.0,1000,final_layer
bn,30,planner,Planner,True,109,109,4x37x2560,-9.938740730285645,323.0,8.0,-9.938740730285645,3,0.25,1000,final_layer
bn,30,critic,Critic,True,109,109,4x37x2560,-12.449121475219727,1251.0,8.0,-10.249954223632812,,0.0,1000,final_layer
bn,30,refiner,Refiner,True,109,109,4x37x2560,-25.56324005126953,12278.0,8.0,-9.775918006896973,,0.0,1000,final_layer
bn,30,judger,Judger,True,109,109,1x37x2560,-1.6086488962173462,1.0,1.0,-1.6086488962173462,0,1.0,1000,final_layer
bn,31,planner,Planner,True,80,80,4x37x2560,-11.774993896484375,781.0,49.0,-9.766952514648438,3,0.25,1000,final_layer
bn,31,critic,Critic,True,80,80,4x37x2560,-13.88747787475586,3465.0,49.0,-9.455650329589844,,0.0,1000,final_layer
bn,31,refiner,Refiner,True,80,80,4x37x2560,-16.003440856933594,5780.0,49.0,-9.447524070739746,,0.0,1000,final_layer
bn,31,judger,Judger,True,80,80,1x37x2560,-12.553811073303223,392.0,49.0,-8.186197280883789,0,1.0,1000,final_layer
bn,32,planner,Planner,True,35,35,4x37x2560,-9.59878158569336,408.0,19.0,-9.198729515075684,3,0.25,1000,final_layer
bn,32,critic,Critic,True,35,35,4x37x2560,-15.716468811035156,3785.0,19.0,-9.477165222167969,,0.0,1000,final_layer
bn,32,refiner,Refiner,True,35,35,4x37x2560,-18.262781143188477,24857.0,19.0,-10.519048690795898,,0.0,1000,final_layer
bn,32,judger,Judger,True,35,35,1x37x2560,-10.75639820098877,111.0,19.0,-10.232420921325684,0,1.0,1000,final_layer
bn,33,planner,Planner,False,40,70,4x37x2560,-9.127182960510254,106.0,49.0,-9.115562438964844,2,0.5,1000,final_layer
bn,33,critic,Critic,False,40,70,4x37x2560,-12.693441390991211,455.0,49.0,-9.197278022766113,3,0.25,1000,final_layer
bn,33,refiner,Refiner,False,40,70,4x37x2560,-22.93909454345703,5086.0,49.0,-9.878271102905273,,0.0,1000,final_layer
bn,33,judger,Judger,False,40,70,1x37x2560,-12.559192657470703,298.0,49.0,-9.333126068115234,0,1.0,1000,final_layer
bn,34,planner,Planner,True,23,23,4x37x2560,-9.297887802124023,487.0,12.0,-9.297887802124023,3,0.25,1000,final_layer
bn,34,critic,Critic,True,23,23,4x37x2560,-11.862074851989746,1778.0,12.0,-10.897500038146973,,0.0,1000,final_layer
bn,34,refiner,Refiner,True,23,23,4x37x2560,-13.12974739074707,2642.0,12.0,-11.700572967529297,,0.0,1000,final_layer
bn,34,judger,Judger,True,23,23,1x37x2560,-10.32961654663086,93.0,12.0,-10.32961654663086,0,1.0,1000,final_layer
bn,35,planner,Planner,False,3,9,4x37x2560,-10.601490020751953,1542.0,48.0,-8.518095016479492,,0.0,1000,final_layer
bn,35,critic,Critic,False,3,9,4x37x2560,-12.132487297058105,3421.0,48.0,-8.246088027954102,,0.0,1000,final_layer
bn,35,refiner,Refiner,False,3,9,4x37x2560,-16.852519989013672,12063.0,48.0,-8.300537109375,,0.0,1000,final_layer
bn,35,judger,Judger,False,3,9,1x37x2560,-13.171982765197754,246.0,48.0,-7.869326114654541,0,1.0,1000,final_layer
bn,36,planner,Planner,False,75.00,75,4x37x2560,-7.983341693878174,78.0,49.0,-7.983341693878174,2,0.5,1000,final_layer
bn,36,critic,Critic,False,75.00,75,4x37x2560,-10.268125534057617,373.0,49.0,-9.78865909576416,3,0.25,1000,final_layer
bn,36,refiner,Refiner,False,75.00,75,4x37x2560,-10.700349807739258,677.0,49.0,-9.860189437866211,3,0.25,1000,final_layer
bn,36,judger,Judger,False,75.00,75,1x37x2560,-11.865077018737793,259.0,49.0,-9.313943862915039,0,1.0,1000,final_layer
bn,37,planner,Planner,False,0,2,4x37x2560,-10.391419410705566,453.0,12.0,-10.391419410705566,2,0.5,1000,final_layer
bn,37,critic,Critic,False,0,2,4x37x2560,-10.511576652526855,869.0,12.0,-10.024368286132812,3,0.25,1000,final_layer
bn,37,refiner,Refiner,False,0,2,4x37x2560,-15.347273826599121,5550.0,12.0,-10.970292091369629,,0.0,1000,final_layer
bn,37,judger,Judger,False,0,2,1x37x2560,-10.053220748901367,83.0,12.0,-10.053220748901367,0,1.0,1000,final_layer
bn,38,planner,Planner,False,60,10,4x37x2560,-9.376877784729004,301.0,8.0,-9.376877784729004,3,0.25,1000,final_layer
bn,38,critic,Critic,False,60,10,4x37x2560,-11.627616882324219,1565.0,8.0,-10.999696731567383,,0.0,1000,final_layer
bn,38,refiner,Refiner,False,60,10,4x37x2560,-18.53286361694336,11598.0,8.0,-11.482461929321289,,0.0,1000,final_layer
bn,38,judger,Judger,False,60,10,1x37x2560,-0.9630724191665649,1.0,1.0,-0.9630724191665649,0,1.0,1000,final_layer
bn,39,planner,Planner,False,4,18,4x37x2560,-9.751130104064941,619.0,8.0,-9.751130104064941,3,0.25,1000,final_layer
bn,39,critic,Critic,False,4,18,4x37x2560,-11.845617294311523,1589.0,8.0,-10.35641860961914,,0.0,1000,final_layer
bn,39,refiner,Refiner,False,4,18,4x37x2560,-15.351916313171387,7156.0,8.0,-11.588003158569336,,0.0,1000,final_layer
bn,39,judger,Judger,False,4,18,1x37x2560,-1.014729380607605,1.0,1.0,-1.014729380607605,0,1.0,1000,final_layer
bn,40,planner,Planner,True,8,8,4x37x2560,-11.103816986083984,854.0,49.0,-9.925556182861328,3,0.25,1000,final_layer
bn,40,critic,Critic,True,8,8,4x37x2560,-11.08731746673584,2356.0,49.0,-9.613295555114746,,0.0,1000,final_layer
bn,40,refiner,Refiner,True,8,8,4x37x2560,-12.359397888183594,4150.0,49.0,-9.616877555847168,,0.0,1000,final_layer
bn,40,judger,Judger,True,8,8,1x37x2560,-13.945817947387695,539.0,49.0,-8.193700790405273,0,1.0,1000,final_layer
bn,41,planner,Planner,False,800,200,4x37x2560,-9.659391403198242,506.0,12.0,-9.659391403198242,2,0.5,1000,final_layer
bn,41,critic,Critic,False,800,200,4x37x2560,-12.382914543151855,1699.0,12.0,-10.712072372436523,,0.0,1000,final_layer
bn,41,refiner,Refiner,False,800,200,4x37x2560,-16.16507339477539,9458.0,12.0,-11.174179077148438,,0.0,1000,final_layer
bn,41,judger,Judger,False,800,200,1x37x2560,-10.1223783493042,97.0,12.0,-10.1223783493042,0,1.0,1000,final_layer
bn,42,planner,Planner,True,26,26,4x37x2560,-9.053360939025879,591.0,12.0,-9.053360939025879,2,0.5,1000,final_layer
bn,42,critic,Critic,True,26,26,4x37x2560,-15.242444038391113,2387.0,12.0,-9.332096099853516,,0.0,1000,final_layer
bn,42,refiner,Refiner,True,26,26,4x37x2560,-23.421045303344727,13553.0,12.0,-10.416805267333984,,0.0,1000,final_layer
bn,42,judger,Judger,True,26,26,1x37x2560,-11.473634719848633,113.0,12.0,-9.99910831451416,0,1.0,1000,final_layer
bn,43,planner,Planner,True,48,48,4x37x2560,-11.436379432678223,491.0,30.0,-9.382091522216797,3,0.25,1000,final_layer
bn,43,critic,Critic,True,48,48,4x37x2560,-10.214031219482422,1200.0,30.0,-9.814406394958496,,0.0,1000,final_layer
bn,43,refiner,Refiner,True,48,48,4x37x2560,-11.41804313659668,2935.0,30.0,-9.907938003540039,,0.0,1000,final_layer
bn,43,judger,Judger,True,48,48,1x37x2560,-12.015508651733398,247.0,30.0,-8.248003005981445,0,1.0,1000,final_layer
bn,44,planner,Planner,True,20,20,4x37x2560,-8.907197952270508,356.0,12.0,-8.907197952270508,2,0.5,1000,final_layer
bn,44,critic,Critic,True,20,20,4x37x2560,-10.612310409545898,1296.0,12.0,-10.612310409545898,,0.0,1000,final_layer
bn,44,refiner,Refiner,True,20,20,4x37x2560,-11.39303207397461,2482.0,12.0,-11.298206329345703,,0.0,1000,final_layer
bn,44,judger,Judger,True,20,20,1x37x2560,-10.835474967956543,94.0,12.0,-10.487899780273438,0,1.0,1000,final_layer
bn,45,planner,Planner,True,104,104,4x37x2560,-7.973642349243164,253.0,8.0,-7.973642349243164,3,0.25,1000,final_layer
bn,45,critic,Critic,True,104,104,4x37x2560,-11.051076889038086,909.0,8.0,-10.039799690246582,3,0.25,1000,final_layer
bn,45,refiner,Refiner,True,104,104,4x37x2560,-24.009878158569336,10397.0,8.0,-10.766481399536133,,0.0,1000,final_layer
bn,45,judger,Judger,True,104,104,1x37x2560,-0.8723879456520081,1.0,1.0,-0.8723879456520081,0,1.0,1000,final_layer
bn,46,planner,Planner,False,220,163,4x37x2560,-9.061115264892578,558.0,8.0,-9.061115264892578,3,0.25,1000,final_layer
bn,46,critic,Critic,False,220,163,4x37x2560,-13.398460388183594,1553.0,8.0,-8.470815658569336,,0.0,1000,final_layer
bn,46,refiner,Refiner,False,220,163,4x37x2560,-18.950712203979492,11731.0,8.0,-11.179768562316895,,0.0,1000,final_layer
bn,46,judger,Judger,False,220,163,1x37x2560,-1.297322154045105,1.0,1.0,-1.297322154045105,0,1.0,1000,final_layer
bn,47,planner,Planner,False,5,800,4x37x2560,-10.557661056518555,1060.0,49.0,-9.680282592773438,,0.0,1000,final_layer
bn,47,critic,Critic,False,5,800,4x37x2560,-12.059849739074707,1910.0,49.0,-9.43709659576416,,0.0,1000,final_layer
bn,47,refiner,Refiner,False,5,800,4x37x2560,-16.784130096435547,4104.0,49.0,-9.401416778564453,,0.0,1000,final_layer
bn,47,judger,Judger,False,5,800,1x37x2560,-14.26136589050293,623.0,49.0,-8.14944076538086,0,1.0,1000,final_layer
bn,48,planner,Planner,True,8,8,4x37x2560,-11.66238784790039,829.0,49.0,-9.714982032775879,3,0.25,1000,final_layer
bn,48,critic,Critic,True,8,8,4x37x2560,-12.131630897521973,3415.0,49.0,-9.398571014404297,,0.0,1000,final_layer
bn,48,refiner,Refiner,True,8,8,4x37x2560,-14.059732437133789,5877.0,49.0,-9.418350219726562,,0.0,1000,final_layer
bn,48,judger,Judger,True,8,8,1x37x2560,-11.923626899719238,200.0,49.0,-8.199544906616211,0,1.0,1000,final_layer
bn,49,planner,Planner,True,30,30,4x37x2560,-9.648516654968262,430.0,19.0,-9.525283813476562,2,0.5,1000,final_layer
bn,49,critic,Critic,True,30,30,4x37x2560,-10.164544105529785,900.0,19.0,-7.954460144042969,3,0.25,1000,final_layer
bn,49,refiner,Refiner,True,30,30,4x37x2560,-15.032819747924805,5468.0,19.0,-10.52176570892334,,0.0,1000,final_layer
bn,49,judger,Judger,True,30,30,1x37x2560,-10.856897354125977,108.0,19.0,-10.190279006958008,0,1.0,1000,final_layer
de,0,planner,Planner,True,18,18,4x37x2560,-23.125041961669922,179.0,8.0,-10.736825942993164,2,0.5,1000,final_layer
de,0,critic,Critic,True,18,18,4x37x2560,-25.5,303.0,8.0,-10.635709762573242,2,0.5,1000,final_layer
de,0,refiner,Refiner,True,18,18,4x37x2560,-24.53218650817871,8307.0,8.0,-9.141511917114258,2,0.5,1000,final_layer
de,0,judger,Judger,True,18,18,1x37x2560,-4.157138824462891,5.0,5.0,-4.157138824462891,0,1.0,1000,final_layer
de,1,planner,Planner,True,3,3,4x37x2560,-21.312580108642578,116.0,19.0,-10.261241912841797,2,0.5,1000,final_layer
de,1,critic,Critic,True,3,3,4x37x2560,-26.375022888183594,700.0,19.0,-9.94291877746582,3,0.25,1000,final_layer
de,1,refiner,Refiner,True,3,3,4x37x2560,-24.414735794067383,31747.0,19.0,-8.37640380859375,2,0.5,1000,final_layer
de,1,judger,Judger,True,3,3,1x37x2560,-14.117440223693848,970.0,80.0,-11.421197891235352,0,1.0,1000,final_layer
de,2,planner,Planner,True,70000,70000,4x37x2560,-18.62746238708496,311.0,49.0,-10.400262832641602,2,0.5,1000,final_layer
de,2,critic,Critic,True,70000,70000,4x37x2560,-25.000001907348633,1251.0,49.0,-10.420650482177734,2,0.5,1000,final_layer
